"","pos","last.week","peak","weeks.on.chart","title","artist","chart.entry.date","entry.position","overall.peak","overall.weeks.on.chart","chart.date","concurrent.count","artist.relevancy"
"7178",78,"90",78,2,"It Won't Stop","SEVYN STREETER featuring CHRIS BROWN",41566,90,30,20,20131026,0,1
"7179",79,"94",79,3,"Stay The Night","ZEDD featuring HAYLEY WILLIAMS",41559,86,18,21,20131026,0,1
"7180",80,"69",69,3,"Team","LORDE",41559,90,6,38,20131026,0,5
"7181",81,"86",81,7,"Bounce It","JUICY J featuring WALE & TREY SONGZ",41531,96,74,19,20131026,0,1
"7182",82,"82",64,15,"HeadBand","B.O.B featuring 2 CHAINZ",41475,98,53,26,20131026,0,2
"7183",83,"71",71,2,"Tennis Court","LORDE",41566,71,71,8,20131026,0,5
"7184",84,"101",84,1,"Make You Feel My Love","GLEE CAST",41573,84,84,1,20131026,0,183
"7185",85,"91",85,2,"Whatever She's Got","DAVID NAIL",41566,91,35,21,20131026,0,3
"7186",86,"97",86,2,"Darte Un Beso","PRINCE ROYCE",41566,97,86,7,20131026,0,3
"7187",87,"101",87,1,"Drive","MILEY CYRUS",41573,87,87,1,20131026,0,12
"7188",88,"93",86,4,"Animals","MARTIN GARRIX",41552,86,21,34,20131026,0,1
"7189",89,"101",89,1,"All Of Me","JOHN LEGEND",41573,89,89,2,20131026,0,5
"7190",90,"101",90,1,"V.S.O.P.","K. MICHELLE",41573,90,89,4,20131026,0,2
"7191",91,"101",91,1,"Days Of Gold","JAKE OWEN",41573,91,83,9,20131026,0,8
"7192",92,"87",65,3,"Pound Cake / Paris Morton Music 2","DRAKE featuring JAY Z",41559,65,65,6,20131026,0,1
"7193",93,"101",93,1,"Someone Else","MILEY CYRUS",41573,93,93,1,20131026,0,12
"7194",94,"79",51,3,"The Language","DRAKE",41559,51,51,3,20131026,0,82
"7195",95,"99",79,5,"Propuesta Indecente","ROMEO SANTOS",41545,79,79,5,20131026,0,5
"7196",96,"100",90,5,"Outta My Head","CRAIG CAMPBELL",41545,96,90,5,20131026,0,4
"7197",97,"101",97,1,"All Kinds Of Kinds","MIRANDA LAMBERT",41573,97,89,5,20131026,0,13
"7198",98,"101",98,1,"Miss Movin' On","FIFTH HARMONY",41573,98,82,3,20131026,0,4
"7199",99,"80",80,2,"Loco","ENRIQUE IGLESIAS featuring ROMEO SANTOS",41566,80,80,2,20131026,0,1
"7200",100,"101",100,1,"Ready Set Roll","CHASE RICE",41573,100,100,1,20131026,0,1
"7201",1,"1",1,14,"Royals","LORDE",41475,90,1,44,20131019,0,5
"7202",2,"2",1,9,"Roar","KATY PERRY",41510,85,1,35,20131019,0,18
"7203",3,"3",1,7,"Wrecking Ball","MILEY CYRUS",41524,50,1,32,20131019,0,12
"7204",4,"5",4,15,"Wake Me Up!","AVICII",41468,81,4,53,20131019,0,5
"7205",5,"4",4,9,"Hold On, We're Going Home","DRAKE featuring MAJID JORDAN",41510,21,4,33,20131019,0,1
"7206",6,"8",6,5,"The Fox","YLVIS",41538,29,6,18,20131019,0,1
"7207",7,"6",4,13,"Holy Grail","JAY Z featuring JUSTIN TIMBERLAKE",41482,8,4,27,20131019,0,1
"7208",8,"7",1,25,"Blurred Lines","ROBIN THICKE featuring T.I. & PHARRELL",41398,94,1,48,20131019,0,1
"7209",9,"9",4,8,"Applause","LADY GAGA",41517,6,4,23,20131019,0,15
"7210",10,"10",6,13,"Summertime Sadness","LANA DEL REY",41482,72,6,23,20131019,0,6
"7211",11,"12",8,23,"Safe And Sound","CAPITAL CITIES",41412,99,8,43,20131019,0,1
"7212",12,"13",3,6,"Berzerk","EMINEM",41531,3,3,20,20131019,0,25
"7213",13,"41",12,3,"Work Bitch","BRITNEY SPEARS",41552,12,12,12,20131019,0,9
"7214",14,"15",2,18,"We Can't Stop","MILEY CYRUS",41447,11,2,26,20131019,0,12
"7215",15,"14",3,56,"Radioactive","IMAGINE DRAGONS",41181,91,3,85,20131019,0,7
"7216",16,"16",15,8,"That's My Kind Of Night","LUKE BRYAN",41517,16,15,21,20131019,0,16
"7217",17,"11",11,2,"23","MIKE WILL MADE-IT feat MILEY CYRUS, WIZ KHALIFA & JUICY J",41559,11,11,22,20131019,0,1
"7218",18,"101",18,1,"Gone","KANYE WEST featuring CAM'RON & CONSEQUENCE",41566,18,18,1,20131019,0,1
"7219",19,"17",17,37,"Sail","AWOLNATION",41314,63,17,59,20131019,0,1
"7220",20,"19",2,34,"Mirrors","JUSTIN TIMBERLAKE",41335,24,2,42,20131019,0,11
"7221",21,"22",21,16,"Counting Stars","ONEREPUBLIC",41461,32,2,68,20131019,0,8
"7222",22,"21",2,25,"Get Lucky","DAFT PUNK featuring PHARRELL WILLIAMS",41398,19,2,29,20131019,0,1
"7223",23,"18",8,29,"Clarity","ZEDD featuring FOXES",41370,86,8,33,20131019,0,1
"7224",24,"28",24,4,"Demons","IMAGINE DRAGONS",41545,46,6,41,20131019,0,7
"7225",25,"34",25,12,"Still Into You","PARAMORE",41489,100,24,19,20131019,0,6
"7226",26,"37",26,6,"Gorilla","BRUNO MARS",41531,60,22,15,20131019,0,18
"7227",27,"25",25,17,"It Goes Like This","THOMAS RHETT",41454,96,25,22,20131019,0,5
"7228",28,"38",28,10,"Let Her Go","PASSENGER",41503,95,5,43,20131019,0,1
"7229",29,"23",5,21,"Treasure","BRUNO MARS",41426,71,5,23,20131019,0,18
"7230",30,"24",6,41,"Cups","ANNA KENDRICK",41286,93,6,44,20131019,0,1
"7231",31,"31",31,11,"Love More","CHRIS BROWN featuring NICKI MINAJ",41496,56,23,26,20131019,0,1
"7232",32,"27",27,16,"Crooked Smile","J. COLE featuring TLC",41461,74,27,20,20131019,0,1
"7233",33,"33",29,19,"Redneck Crazy","TYLER FARR",41440,95,29,20,20131019,0,3
"7234",34,"101",34,1,"Walking On Air","KATY PERRY",41566,34,34,1,20131019,0,18
"7235",35,"26",26,13,"Night Train","JASON ALDEAN",41482,90,26,19,20131019,0,18
"7236",36,"35",25,7,"Give It 2 U","ROBIN THICKE featuring KENDRICK LAMAR",41524,83,25,12,20131019,0,1
"7237",37,"29",1,33,"Can't Hold Us","MACKLEMORE & RYAN LEWIS featuring RAY DALTON",41342,92,1,37,20131019,0,1
"7238",38,"39",17,3,"Dark Horse","KATY PERRY featuring JUICY J",41552,17,1,57,20131019,0,1
"7239",39,"30",10,20,"Love Somebody","MAROON 5",41433,54,10,21,20131019,0,15
"7240",40,"20",20,2,"All Me","DRAKE featuring 2 CHAINZ & BIG SEAN",41559,20,20,20,20131019,0,1
"7241",41,"45",41,11,"Everything Has Changed","TAYLOR SWIFT featuring ED SHEERAN",41496,41,32,17,20131019,0,1
"7242",42,"44",39,19,"Hey Girl","BILLY CURRINGTON",41440,93,39,20,20131019,0,6
"7243",43,"36",1,34,"Just Give Me A Reason","P!NK featuring NATE RUESS",41335,84,1,36,20131019,0,1
"7244",44,"47",44,10,"Mine Would Be You","BLAKE SHELTON",41503,100,28,20,20131019,0,17
"7245",45,"54",45,7,"Slow Down","SELENA GOMEZ",41524,94,27,18,20131019,0,9
"7246",46,"43",38,10,"Beware","BIG SEAN featuring LIL WAYNE & JHENE AIKO",41503,94,38,19,20131019,0,1
"7247",47,"32",11,28,"Same Love","MACKLEMORE & RYAN LEWIS featuring MARY LAMBERT",41377,93,11,28,20131019,0,1
"7248",48,"46",4,27,"Cruise","FLORIDA GEORGIA LINE featuring NELLY",41384,8,4,28,20131019,0,1
"7249",49,"40",16,25,"I Need Your Love","CALVIN HARRIS featuring ELLIE GOULDING",41398,76,16,25,20131019,0,2
"7250",50,"52",29,11,"Gas Pedal","SAGE THE GEMINI featuring IAMSU",41496,58,29,25,20131019,0,1
"7251",51,"49",31,16,"Brave","SARA BAREILLES",41461,100,23,41,20131019,0,3
"7252",52,"55",52,12,"Aw Naw","CHRIS YOUNG",41489,97,45,20,20131019,0,10
"7253",53,"57",53,10,"True Love","PINK featuring LILY ALLEN",41503,85,53,14,20131019,0,1
"7254",54,"58",54,11,"Southern Girl","TIM McGRAW",41496,100,42,20,20131019,0,12
"7255",55,"53",50,12,"Type Of Way","RICH HOMIE QUAN",41489,98,50,20,20131019,0,4
"7256",56,"66",56,5,"I Luv This Shit","AUGUST ALSINA / TRINIDAD JAMES",41538,85,48,20,20131019,0,1
"7257",57,"62",54,3,"TKO","JUSTIN TIMBERLAKE",41552,54,36,17,20131019,0,11
"7258",58,"60",58,15,"Sweater Weather","THE NEIGHBOURHOOD",41468,96,14,35,20131019,0,1
"7259",59,"50",28,17,"Round Here","FLORIDA GEORGIA LINE",41454,89,28,20,20131019,0,11
"7260",60,"48",2,11,"Best Song Ever","ONE DIRECTION",41496,2,2,17,20131019,0,19
"7261",61,"68",61,4,"Honest","FUTURE",41545,75,55,17,20131019,0,15
"7262",62,"59",29,13,"Take Back The Night","JUSTIN TIMBERLAKE",41482,47,29,13,20131019,0,11
"7263",63,"63",62,15,"Parking Lot Party","LEE BRICE",41468,93,62,20,20131019,0,7
"7264",64,"71",64,6,"Sunny And 75","JOE NICHOLS",41531,98,39,20,20131019,0,4
"7265",65,"70",52,12,"Red Nose","SAGE THE GEMINI",41489,62,52,20,20131019,0,3
"7266",66,"76",66,4,"We Were Us","KEITH URBAN & MIRANDA LAMBERT",41545,80,26,20,20131019,0,1
"7267",67,"101",67,1,"My Hitta","YG X JEEZY X RICH HOMIE QUAN",41566,67,19,28,20131019,0,1
"7268",68,"92",61,7,"Replay","ZENDAYA",41524,77,40,21,20131019,0,2
"7269",69,"90",69,2,"Team","LORDE",41559,90,6,38,20131019,0,5
"7270",70,"72",39,13,"Tom Ford","JAY Z",41482,39,39,20,20131019,0,12
"7271",71,"101",71,1,"Tennis Court","LORDE",41566,71,71,8,20131019,0,5
"7272",72,"101",72,1,"Marry Me","JASON DERULO",41566,72,26,17,20131019,0,12
"7273",73,"75",73,9,"Red","TAYLOR SWIFT",41510,100,32,17,20131019,0,49
"7274",74,"77",74,4,"Drunk Last Night","ELI YOUNG BAND",41545,84,41,19,20131019,0,4
"7275",75,"80",75,4,"Wasting All These Tears","CASSADEE POPE",41545,90,46,19,20131019,0,5
"7276",76,"84",76,3,"Carolina","PARMALEE",41552,93,36,19,20131019,0,2
"7277",77,"101",77,1,"Heartbreaker","JUSTIN BIEBER",41566,77,13,2,20131019,0,41
"7278",78,"74",72,8,"Pompeii","BASTILLE",41517,95,5,53,20131019,0,2
"7279",79,"51",51,2,"The Language","DRAKE",41559,51,51,3,20131019,0,82
"7280",80,"101",80,1,"Loco","ENRIQUE IGLESIAS featuring ROMEO SANTOS",41566,80,80,2,20131019,0,1
"7281",81,"94",81,3,"Burn","ELLIE GOULDING",41552,99,13,34,20131019,0,8
"7282",82,"79",64,14,"HeadBand","B.O.B featuring 2 CHAINZ",41475,98,53,26,20131019,0,2
"7283",83,"69",53,19,"Point At You","JUSTIN MOORE",41440,97,53,19,20131019,0,7
"7284",84,"56",56,2,"Furthest Thing","DRAKE",41559,56,56,2,20131019,0,82
"7285",85,"98",85,3,"White Walls","MACKLEMORE & RYAN LEWIS featuring SCHOOLBOY Q & HOLLIS",41552,100,15,22,20131019,0,1
"7286",86,"88",81,6,"Bounce It","JUICY J featuring WALE & TREY SONGZ",41531,96,74,19,20131019,0,1
"7287",87,"65",65,2,"Pound Cake / Paris Morton Music 2","DRAKE featuring JAY Z",41559,65,65,6,20131019,0,1
"7288",88,"91",88,3,"Best I Ever Had","GAVIN DeGRAW",41552,88,88,3,20131019,0,2
"7289",89,"67",67,2,"From Time","DRAKE",41559,67,67,2,20131019,0,82
"7290",90,"101",90,1,"It Won't Stop","SEVYN STREETER featuring CHRIS BROWN",41566,90,30,20,20131019,0,1
"7291",91,"101",91,1,"Whatever She's Got","DAVID NAIL",41566,91,35,21,20131019,0,3
"7292",92,"82",33,19,"Little Bit Of Everything","KEITH URBAN",41440,91,33,19,20131019,0,12
"7293",93,"99",86,3,"Animals","MARTIN GARRIX",41552,86,21,34,20131019,0,1
"7294",94,"86",86,2,"Stay The Night","ZEDD featuring HAYLEY WILLIAMS",41559,86,18,21,20131019,0,1
"7295",95,"85",30,20,"Don't Ya","BRETT ELDREDGE",41433,95,30,20,20131019,0,3
"7296",96,"73",19,3,"Lolly","MAEJOR ALI featuring JUICY J & JUSTIN BIEBER",41552,19,19,3,20131019,0,1
"7297",97,"101",97,1,"Darte Un Beso","PRINCE ROYCE",41566,97,86,7,20131019,0,3
"7298",98,"95",79,8,"Bruises","TRAIN featuring ASHLEY MONROE",41517,97,79,8,20131019,0,1
"7299",99,"96",79,4,"Propuesta Indecente","ROMEO SANTOS",41545,79,79,5,20131019,0,5
"7300",100,"97",90,4,"Outta My Head","CRAIG CAMPBELL",41545,96,90,5,20131019,0,4
"7301",1,"3",1,13,"Royals","LORDE",41475,90,1,44,20131012,0,5
"7302",2,"2",1,8,"Roar","KATY PERRY",41510,85,1,35,20131012,0,18
"7303",3,"1",1,6,"Wrecking Ball","MILEY CYRUS",41524,50,1,32,20131012,0,12
"7304",4,"7",4,8,"Hold On, We're Going Home","DRAKE featuring MAJID JORDAN",41510,21,4,33,20131012,0,1
"7305",5,"4",4,14,"Wake Me Up!","AVICII",41468,81,4,53,20131012,0,5
"7306",6,"6",4,12,"Holy Grail","JAY Z featuring JUSTIN TIMBERLAKE",41482,8,4,27,20131012,0,1
"7307",7,"5",1,24,"Blurred Lines","ROBIN THICKE featuring T.I. & PHARRELL",41398,94,1,48,20131012,0,1
"7308",8,"13",8,4,"The Fox","YLVIS",41538,29,6,18,20131012,0,1
"7309",9,"8",4,7,"Applause","LADY GAGA",41517,6,4,23,20131012,0,15
"7310",10,"9",6,12,"Summertime Sadness","LANA DEL REY",41482,72,6,23,20131012,0,6
"7311",11,"101",11,1,"23","MIKE WILL MADE-IT feat MILEY CYRUS, WIZ KHALIFA & JUICY J",41559,11,11,22,20131012,0,1
"7312",12,"10",8,22,"Safe And Sound","CAPITAL CITIES",41412,99,8,43,20131012,0,1
"7313",13,"11",3,5,"Berzerk","EMINEM",41531,3,3,20,20131012,0,25
"7314",14,"14",3,55,"Radioactive","IMAGINE DRAGONS",41181,91,3,85,20131012,0,7
"7315",15,"15",2,17,"We Can't Stop","MILEY CYRUS",41447,11,2,26,20131012,0,12
"7316",16,"16",15,7,"That's My Kind Of Night","LUKE BRYAN",41517,16,15,21,20131012,0,16
"7317",17,"20",17,36,"Sail","AWOLNATION",41314,63,17,59,20131012,0,1
"7318",18,"18",8,28,"Clarity","ZEDD featuring FOXES",41370,86,8,33,20131012,0,1
"7319",19,"22",2,33,"Mirrors","JUSTIN TIMBERLAKE",41335,24,2,42,20131012,0,11
"7320",20,"101",20,1,"All Me","DRAKE featuring 2 CHAINZ & BIG SEAN",41559,20,20,20,20131012,0,1
"7321",21,"21",2,24,"Get Lucky","DAFT PUNK featuring PHARRELL WILLIAMS",41398,19,2,29,20131012,0,1
"7322",22,"28",22,15,"Counting Stars","ONEREPUBLIC",41461,32,2,68,20131012,0,8
"7323",23,"24",5,20,"Treasure","BRUNO MARS",41426,71,5,23,20131012,0,18
"7324",24,"23",6,40,"Cups","ANNA KENDRICK",41286,93,6,44,20131012,0,1
"7325",25,"34",25,16,"It Goes Like This","THOMAS RHETT",41454,96,25,22,20131012,0,5
"7326",26,"32",26,12,"Night Train","JASON ALDEAN",41482,90,26,19,20131012,0,18
"7327",27,"27",27,15,"Crooked Smile","J. COLE featuring TLC",41461,74,27,20,20131012,0,1
"7328",28,"46",28,3,"Demons","IMAGINE DRAGONS",41545,46,6,41,20131012,0,7
"7329",29,"29",1,32,"Can't Hold Us","MACKLEMORE & RYAN LEWIS featuring RAY DALTON",41342,92,1,37,20131012,0,1
"7330",30,"26",10,19,"Love Somebody","MAROON 5",41433,54,10,21,20131012,0,15
"7331",31,"38",31,10,"Love More","CHRIS BROWN featuring NICKI MINAJ",41496,56,23,26,20131012,0,1
"7332",32,"25",11,27,"Same Love","MACKLEMORE & RYAN LEWIS featuring MARY LAMBERT",41377,93,11,28,20131012,0,1
"7333",33,"31",29,18,"Redneck Crazy","TYLER FARR",41440,95,29,20,20131012,0,3
"7334",34,"37",34,11,"Still Into You","PARAMORE",41489,100,24,19,20131012,0,6
"7335",35,"36",25,6,"Give It 2 U","ROBIN THICKE featuring KENDRICK LAMAR",41524,83,25,12,20131012,0,1
"7336",36,"40",1,33,"Just Give Me A Reason","P!NK featuring NATE RUESS",41335,84,1,36,20131012,0,1
"7337",37,"50",37,5,"Gorilla","BRUNO MARS",41531,60,22,15,20131012,0,18
"7338",38,"44",38,9,"Let Her Go","PASSENGER",41503,95,5,43,20131012,0,1
"7339",39,"17",17,2,"Dark Horse","KATY PERRY featuring JUICY J",41552,17,1,57,20131012,0,1
"7340",40,"30",16,24,"I Need Your Love","CALVIN HARRIS featuring ELLIE GOULDING",41398,76,16,25,20131012,0,2
"7341",41,"12",12,2,"Work Bitch","BRITNEY SPEARS",41552,12,12,12,20131012,0,9
"7342",42,"35",24,30,"Gone, Gone, Gone","PHILLIP PHILLIPS",41356,100,24,30,20131012,0,4
"7343",43,"41",38,9,"Beware","BIG SEAN featuring LIL WAYNE & JHENE AIKO",41503,94,38,19,20131012,0,1
"7344",44,"39",39,18,"Hey Girl","BILLY CURRINGTON",41440,93,39,20,20131012,0,6
"7345",45,"45",41,10,"Everything Has Changed","TAYLOR SWIFT featuring ED SHEERAN",41496,41,32,17,20131012,0,1
"7346",46,"42",4,26,"Cruise","FLORIDA GEORGIA LINE featuring NELLY",41384,8,4,28,20131012,0,1
"7347",47,"49",47,9,"Mine Would Be You","BLAKE SHELTON",41503,100,28,20,20131012,0,17
"7348",48,"33",2,10,"Best Song Ever","ONE DIRECTION",41496,2,2,17,20131012,0,19
"7349",49,"48",31,15,"Brave","SARA BAREILLES",41461,100,23,41,20131012,0,3
"7350",50,"43",28,16,"Round Here","FLORIDA GEORGIA LINE",41454,89,28,20,20131012,0,11
"7351",51,"101",51,1,"The Language","DRAKE",41559,51,51,3,20131012,0,82
"7352",52,"51",29,10,"Gas Pedal","SAGE THE GEMINI featuring IAMSU",41496,58,29,25,20131012,0,1
"7353",53,"56",50,11,"Type Of Way","RICH HOMIE QUAN",41489,98,50,20,20131012,0,4
"7354",54,"57",54,6,"Slow Down","SELENA GOMEZ",41524,94,27,18,20131012,0,9
"7355",55,"53",53,11,"Aw Naw","CHRIS YOUNG",41489,97,45,20,20131012,0,10
"7356",56,"101",56,1,"Furthest Thing","DRAKE",41559,56,56,2,20131012,0,82
"7357",57,"58",54,9,"True Love","PINK featuring LILY ALLEN",41503,85,53,14,20131012,0,1
"7358",58,"59",55,10,"Southern Girl","TIM McGRAW",41496,100,42,20,20131012,0,12
"7359",59,"64",29,12,"Take Back The Night","JUSTIN TIMBERLAKE",41482,47,29,13,20131012,0,11
"7360",60,"60",58,14,"Sweater Weather","THE NEIGHBOURHOOD",41468,96,14,35,20131012,0,1
"7361",61,"52",52,3,"Wu-Tang Forever","DRAKE",41545,88,52,3,20131012,0,82
"7362",62,"54",54,2,"TKO","JUSTIN TIMBERLAKE",41552,54,36,17,20131012,0,11
"7363",63,"62",62,14,"Parking Lot Party","LEE BRICE",41468,93,62,20,20131012,0,7
"7364",64,"101",64,1,"Too Much","DRAKE",41559,64,64,1,20131012,0,82
"7365",65,"101",65,1,"Pound Cake / Paris Morton Music 2","DRAKE featuring JAY Z",41559,65,65,6,20131012,0,1
"7366",66,"71",66,4,"I Luv This Shit","AUGUST ALSINA / TRINIDAD JAMES",41538,85,48,20,20131012,0,1
"7367",67,"101",67,1,"From Time","DRAKE",41559,67,67,2,20131012,0,82
"7368",68,"80",68,3,"Honest","FUTURE",41545,75,55,17,20131012,0,15
"7369",69,"55",53,18,"Point At You","JUSTIN MOORE",41440,97,53,19,20131012,0,7
"7370",70,"66",52,11,"Red Nose","SAGE THE GEMINI",41489,62,52,20,20131012,0,3
"7371",71,"69",69,5,"Sunny And 75","JOE NICHOLS",41531,98,39,20,20131012,0,4
"7372",72,"72",39,12,"Tom Ford","JAY Z",41482,39,39,20,20131012,0,12
"7373",73,"19",19,2,"Lolly","MAEJOR ALI featuring JUICY J & JUSTIN BIEBER",41552,19,19,3,20131012,0,1
"7374",74,"73",72,7,"Pompeii","BASTILLE",41517,95,5,53,20131012,0,2
"7375",75,"76",75,8,"Red","TAYLOR SWIFT",41510,100,32,17,20131012,0,49
"7376",76,"68",68,3,"We Were Us","KEITH URBAN & MIRANDA LAMBERT",41545,80,26,20,20131012,0,1
"7377",77,"83",77,3,"Drunk Last Night","ELI YOUNG BAND",41545,84,41,19,20131012,0,4
"7378",78,"101",78,1,"Own It","DRAKE",41559,78,78,1,20131012,0,82
"7379",79,"74",64,13,"HeadBand","B.O.B featuring 2 CHAINZ",41475,98,53,26,20131012,0,2
"7380",80,"87",80,3,"Wasting All These Tears","CASSADEE POPE",41545,90,46,19,20131012,0,5
"7381",81,"101",81,1,"Tuscan Leather","DRAKE",41559,81,81,1,20131012,0,82
"7382",82,"63",33,18,"Little Bit Of Everything","KEITH URBAN",41440,91,33,19,20131012,0,12
"7383",83,"79",57,8,"Young And Beautiful","LANA DEL REY",41510,95,57,8,20131012,0,6
"7384",84,"93",84,2,"Carolina","PARMALEE",41552,93,36,19,20131012,0,2
"7385",85,"75",30,19,"Don't Ya","BRETT ELDREDGE",41433,95,30,20,20131012,0,3
"7386",86,"101",86,1,"Stay The Night","ZEDD featuring HAYLEY WILLIAMS",41559,86,18,21,20131012,0,1
"7387",87,"101",87,1,"Come Thru","DRAKE",41559,87,87,1,20131012,0,82
"7388",88,"92",81,5,"Bounce It","JUICY J featuring WALE & TREY SONGZ",41531,96,74,19,20131012,0,1
"7389",89,"101",89,1,"Worst Behavior","DRAKE",41559,89,89,1,20131012,0,82
"7390",90,"101",90,1,"Team","LORDE",41559,90,6,38,20131012,0,5
"7391",91,"88",88,2,"Best I Ever Had","GAVIN DeGRAW",41552,88,88,3,20131012,0,2
"7392",92,"61",61,6,"Replay","ZENDAYA",41524,77,40,21,20131012,0,2
"7393",93,"81",66,13,"Feds Watching","2 CHAINZ featuring PHARRELL",41475,67,66,13,20131012,0,1
"7394",94,"99",94,2,"Burn","ELLIE GOULDING",41552,99,13,34,20131012,0,8
"7395",95,"91",79,7,"Bruises","TRAIN featuring ASHLEY MONROE",41517,97,79,8,20131012,0,1
"7396",96,"84",79,3,"Propuesta Indecente","ROMEO SANTOS",41545,79,79,5,20131012,0,5
"7397",97,"90",90,3,"Outta My Head","CRAIG CAMPBELL",41545,96,90,5,20131012,0,4
"7398",98,"100",98,2,"White Walls","MACKLEMORE & RYAN LEWIS featuring SCHOOLBOY Q & HOLLIS",41552,100,15,22,20131012,0,1
"7399",99,"86",86,2,"Animals","MARTIN GARRIX",41552,86,21,34,20131012,0,1
"7400",100,"89",87,6,"American Girl","BONNIE McKEE",41524,100,87,6,20131012,0,1
"7401",1,"1",1,5,"Wrecking Ball","MILEY CYRUS",41524,50,1,32,20131005,0,12
"7402",2,"2",1,7,"Roar","KATY PERRY",41510,85,1,35,20131005,0,18
"7403",3,"3",3,12,"Royals","LORDE",41475,90,1,44,20131005,0,5
"7404",4,"5",4,13,"Wake Me Up!","AVICII",41468,81,4,53,20131005,0,5
"7405",5,"4",1,23,"Blurred Lines","ROBIN THICKE featuring T.I. & PHARRELL",41398,94,1,48,20131005,0,1
"7406",6,"6",4,11,"Holy Grail","JAY Z featuring JUSTIN TIMBERLAKE",41482,8,4,27,20131005,0,1
"7407",7,"9",7,7,"Hold On, We're Going Home","DRAKE featuring MAJID JORDAN",41510,21,4,33,20131005,0,1
"7408",8,"7",4,6,"Applause","LADY GAGA",41517,6,4,23,20131005,0,15
"7409",9,"10",6,11,"Summertime Sadness","LANA DEL REY",41482,72,6,23,20131005,0,6
"7410",10,"12",8,21,"Safe And Sound","CAPITAL CITIES",41412,99,8,43,20131005,0,1
"7411",11,"8",3,4,"Berzerk","EMINEM",41531,3,3,20,20131005,0,25
"7412",12,"101",12,1,"Work Bitch","BRITNEY SPEARS",41552,12,12,12,20131005,0,9
"7413",13,"25",13,3,"The Fox","YLVIS",41538,29,6,18,20131005,0,1
"7414",14,"13",3,54,"Radioactive","IMAGINE DRAGONS",41181,91,3,85,20131005,0,7
"7415",15,"11",2,16,"We Can't Stop","MILEY CYRUS",41447,11,2,26,20131005,0,12
"7416",16,"15",15,6,"That's My Kind Of Night","LUKE BRYAN",41517,16,15,21,20131005,0,16
"7417",17,"101",17,1,"Dark Horse","KATY PERRY featuring JUICY J",41552,17,1,57,20131005,0,1
"7418",18,"14",8,27,"Clarity","ZEDD featuring FOXES",41370,86,8,33,20131005,0,1
"7419",19,"101",19,1,"Lolly","MAEJOR ALI featuring JUICY J & JUSTIN BIEBER",41552,19,19,3,20131005,0,1
"7420",20,"22",20,35,"Sail","AWOLNATION",41314,63,17,59,20131005,0,1
"7421",21,"16",2,23,"Get Lucky","DAFT PUNK featuring PHARRELL WILLIAMS",41398,19,2,29,20131005,0,1
"7422",22,"20",2,32,"Mirrors","JUSTIN TIMBERLAKE",41335,24,2,42,20131005,0,11
"7423",23,"18",6,39,"Cups","ANNA KENDRICK",41286,93,6,44,20131005,0,1
"7424",24,"17",5,19,"Treasure","BRUNO MARS",41426,71,5,23,20131005,0,18
"7425",25,"19",11,26,"Same Love","MACKLEMORE & RYAN LEWIS featuring MARY LAMBERT",41377,93,11,28,20131005,0,1
"7426",26,"21",10,18,"Love Somebody","MAROON 5",41433,54,10,21,20131005,0,15
"7427",27,"36",27,14,"Crooked Smile","J. COLE featuring TLC",41461,74,27,20,20131005,0,1
"7428",28,"38",28,14,"Counting Stars","ONEREPUBLIC",41461,32,2,68,20131005,0,8
"7429",29,"26",1,31,"Can't Hold Us","MACKLEMORE & RYAN LEWIS featuring RAY DALTON",41342,92,1,37,20131005,0,1
"7430",30,"24",16,23,"I Need Your Love","CALVIN HARRIS featuring ELLIE GOULDING",41398,76,16,25,20131005,0,2
"7431",31,"29",29,17,"Redneck Crazy","TYLER FARR",41440,95,29,20,20131005,0,3
"7432",32,"27",27,11,"Night Train","JASON ALDEAN",41482,90,26,19,20131005,0,18
"7433",33,"23",2,9,"Best Song Ever","ONE DIRECTION",41496,2,2,17,20131005,0,19
"7434",34,"32",32,15,"It Goes Like This","THOMAS RHETT",41454,96,25,22,20131005,0,5
"7435",35,"31",24,29,"Gone, Gone, Gone","PHILLIP PHILLIPS",41356,100,24,30,20131005,0,4
"7436",36,"28",25,5,"Give It 2 U","ROBIN THICKE featuring KENDRICK LAMAR",41524,83,25,12,20131005,0,1
"7437",37,"37",36,10,"Still Into You","PARAMORE",41489,100,24,19,20131005,0,6
"7438",38,"39",38,9,"Love More","CHRIS BROWN featuring NICKI MINAJ",41496,56,23,26,20131005,0,1
"7439",39,"45",39,17,"Hey Girl","BILLY CURRINGTON",41440,93,39,20,20131005,0,6
"7440",40,"34",1,32,"Just Give Me A Reason","P!NK featuring NATE RUESS",41335,84,1,36,20131005,0,1
"7441",41,"41",38,8,"Beware","BIG SEAN featuring LIL WAYNE & JHENE AIKO",41503,94,38,19,20131005,0,1
"7442",42,"33",4,25,"Cruise","FLORIDA GEORGIA LINE featuring NELLY",41384,8,4,28,20131005,0,1
"7443",43,"30",28,15,"Round Here","FLORIDA GEORGIA LINE",41454,89,28,20,20131005,0,11
"7444",44,"43",43,8,"Let Her Go","PASSENGER",41503,95,5,43,20131005,0,1
"7445",45,"42",41,9,"Everything Has Changed","TAYLOR SWIFT featuring ED SHEERAN",41496,41,32,17,20131005,0,1
"7446",46,"46",46,2,"Demons","IMAGINE DRAGONS",41545,46,6,41,20131005,0,7
